param R:
	P1			P2		P3			P4 :=
52 10.469 7.4555 5.759 5.6185
53 8.6136 8.3094 8.3957 5.0738
54 6.0447 8.304 7.152 6.4728
55 6.6598 8.9384 5.7406 6.7922
56 10.111 11.034 5.5425 5.5131
57 5.1521 6.3901 8.3912 7.173
58 7.4762 9.1286 7.6136 6.5229
59 7.69 8.3702 6.0649 6.7317
60 5.8021 6.3042 9.0433 6.8468
61 9.2893 8.2556 7.5762 6.0554
62 5.3101 7.1018 8.7093 7.0327
63 6.353 9.1949 5.7767 6.294
64 8.9881 7.7538 9.8787 6.2758
65 6.7562 9.001 7.9535 6.8238
66 11.035 6.6851 6.2288 5.676
67 5.3799 7.1871 7.2586 7.0671
68 6.9667 6.3807 7.7843 6.7788
69 8.4103 7.7742 6.6291 6.0818
70 9.104 9.3574 6.4838 5.794
71 9.8555 8.6408 6.8815 5.9971
72 11.05 5.5112 9.2154 5.762
73 6.1356 11.088 5.6158 6.2165
74 9.6928 10.895 6.0363 5.1856
75 11.947 5.2322 7.4678 6.3994
76 6.6513 10.894 6.3893 6.2266
77 9.5037 9.3942 5.8576 6.06
78 6.8376 9.0637 7.6675 6.5636
79 6.2468 7.3035 8.0871 7.5049
80 6.0354 6.4726 6.3302 6.0827
81 7.3442 8.4339 5.8852 5.7489
82 8.034 9.6098 5.3012 6.2826
83 8.2963 8.097 10.738 6.8969
84 11.312 7.0387 8.2597 5.1829
85 10.599 5.9768 8.039 6.4984
86 10.376 8.5393 6.6695 6.1965
87 5.7938 5.1776 7.3098 6.9397
88 9.8677 6.7921 5.3472 6.5441
89 11.317 10.773 5.7934 5.2995
90 7.1655 6.3592 8.2138 6.2641
91 8.0379 10.117 5.6788 5.8345
92 5.7931 6.2698 7.6201 7.4328
93 10.231 6.736 5.385 5.6181
94 8.8457 11.671 6.3224 5.1725
95 7.6491 8.938 6.8935 6.0749
96 11.207 10.424 7.6871 5.1993
97 11.492 5.9298 7.6034 5.3577
98 6.13 8.5217 9.5859 6.8344
99 6.9632 6.1109 8.1191 6.6359
100 5.8711 8.6367 7.5276 6.1243
101 11.637 6.3066 7.2416 5.5408
102 7.1618 6.2815 8.5551 6.1983
103 7.8321 7.4089 8.5915 7.3235
104 10.003 6.298 6.4533 6.0715
105 5.9946 6.8935 8.0549 7.4644
106 9.1951 9.7798 9.4793 5.7158
107 9.3235 8.3829 5.3478 5.8105
108 5.4691 7.1654 6.3534 6.9906
109 9.5375 10.564 7.2433 5.3641
110 8.7012 8.4311 7.5209 6.3141
111 10.539 7.6129 6.6643 5.7533
112 10.053 10.11 6.6398 5.4696
113 7.7332 7.1367 6.3564 6.0342
114 6.6736 7.4651 7.5368 6.4701
115 5.0839 7.9572 9.0594 5.8687
116 6.3044 8.9429 5.8832 6.8256
117 11.837 7.3057 8.5854 6.0046
118 9.9282 8.5033 6.8712 5.1481
119 7.1405 6.8746 9.8229 7.3527
120 7.5942 8.6352 6.7925 6.3222
121 10.19 7.2245 6.978 5.8217
122 9.5053 9.4085 7.3575 6.5068
123 11.553 10.759 6.457 5.2448
124 7.4837 11.776 7.2588 6.4224
125 10.147 5.3578 6.5352 6.6464
126 7.7236 8.2108 5.9771 5.6018
127 10.821 9.1947 6.5235 5.0428
128 7.5426 5.6016 7.7447 6.1814
129 5.8936 10.621 7.2481 7.135
130 6.3481 5.6726 9.476 6.9969
131 11.423 9.0658 5.6345 5.9249
132 9.4045 8.777 8.5611 6.2516
133 9.9437 8.7807 5.4159 6.424
134 10.241 8.9663 7.519 5.7154
135 7.2405 8.3448 8.8871 6.2597
136 11.028 6.3313 7.7533 5.5646
137 8.0955 7.143 7.3331 6.08
138 7.2273 6.6259 9 6.3044
139 6.5065 8.3065 8.3758 6.5676
140 10.682 7.3948 6.9702 6.1949
141 8.8429 8.6478 7.4139 5.8795
142 7.1565 6.8965 8.2064 6.7363
143 11.463 9.6039 6.5342 5.9915
144 9.675 7.6213 10.129 5.7902
145 9.8055 5.4077 8.5805 5.767
146 11.177 5.7779 6.7234 5.7343
147 6.3618 11.121 7.1232 5.6227
148 6.8694 7.9662 6.4483 5.9098
149 10.578 6.326 8.0123 6.8269
150 7.5288 8.4064 6.2316 6.2783
151 5.6254 9.88 8.0543 6.894
152 5.2018 7.9655 7.0285 6.8517
153 11.204 8.4695 7.5177 5.5439
154 9.3141 9.9357 5.2436 5.6166
155 10.879 7.3389 7.5585 6.0232
156 11.878 7.4743 7.8924 6.1607
157 6.4653 9.2156 6.7445 6.3426
158 5.7708 9.347 5.8348 6.1391
159 5.0089 5.1154 8.8618 7.5875
160 8.8576 11.527 5.2656 5.229
161 9.974 11.409 6.1185 5.7362
162 9.3955 6.7479 8.4413 6.1706
163 8.5236 6.0989 7.7093 6.5025
164 5.0605 10.987 6.9933 6.3454
165 6.6386 10.244 6.6514 6.4521
166 7.5993 7.8495 8.9494 5.5601
167 10.129 9.9007 6.6351 5.1864
168 5.0993 8.5306 7.9954 7.541
169 9.6874 10.309 6.3253 6.0924
170 6.3482 6.8305 9.7725 7.169
171 6.9737 5.2753 6.9327 6.8133
172 11.556 7.9801 6.9009 5.901
173 9.9422 8.1991 6.2928 5.1372
174 5.0916 10.877 6.2929 5.5499
175 8.887 7.306 9.1256 6.1493
176 9.4842 7.9027 6.2392 5.744
177 7.7293 7.9677 6.7549 5.3554
178 7.9944 8.8239 9.0819 6.1578
179 8.4598 6.8752 5.8125 5.9527
180 7.81 9.1761 10.036 5.5298
181 10.667 6.6721 6.0512 6.0784
182 7.2851 8.2899 9.6567 5.9381
183 6.054 8.4956 8.0396 6.7718
184 8.6025 7.2525 9.3757 6.8295
185 10.5 6.5462 9.1448 6.3638
186 8.708 8.6417 9.6831 6.3644
187 6.8361 6.3245 9.0842 7.1802
188 9.0092 10.955 6.361 5.4356
189 7.066 8.6731 8.1068 5.8877
190 8.7137 9.0751 6.6703 5.6837
191 7.4209 8.8628 7.844 6.4419
192 5.4014 11.205 5.8304 5.8275
193 5.3259 7.4411 9.4297 7.22
194 9.3312 7.5038 7.032 6.6049
195 9.8593 5.361 5.7404 6.0083
196 10.733 9.833 6.0289 5.9205
197 8.537 8.0553 8.811 6.6312
198 11.175 7.171 7.6624 5.6811
199 7.8849 7.2096 7.6305 6.5701
200 8.2731 6.3336 9.346 6.2786
201 5.6322 9.6687 6.9291 5.9519
202 5.1291 6.5595 9.4292 7.1748
203 10.45 7.6988 6.656 5.6791
204 8.417 7.8228 9.0098 6.2057
205 6.8202 8.8604 8.3296 5.8879
206 11.005 10.233 7.3172 5.5367
207 6.509 5.9931 10.421 7.0739
208 11.119 7.9146 6.444 5.1243
209 9.5257 5.1858 9.6118 6.2285
210 5.056 10.344 6.2433 6.6639
211 5.228 9.9211 9.3577 7.0094
212 7.6103 9.1638 5.8423 6.7219
213 7.114 8.3577 6.0408 6.3632
214 10.231 6.0377 6.6294 5.9591
215 7.9762 10.835 8.0137 5.8463
216 6.206 7.8198 9.5083 6.9785
217 8.9754 9.282 5.8563 6.1205
218 7.638 10.55 6.1033 6.646
219 7.5741 10.183 6.3666 6.0934
220 6.5217 8.0238 7.9332 7.93
221 6.7472 7.3798 8.974 6.3267
222 10.713 5.5556 10.841 7.05
223 10.008 11.812 5.844 5.1628
224 10.437 7.1381 8.4906 5.275
225 10.098 10.776 5.1268 5.7417
226 7.4088 9.6124 7.5781 6.7334
227 7.0498 10.913 6.9722 6.6513
228 8.3281 8.7362 10.494 6.4184
229 5.1179 10.505 7.9151 6.3947
230 9.1286 9.9638 5.0754 5.1221
231 10.467 9.3753 6.5737 5.2258
232 10.153 9.7284 8.2113 5.8064
233 11.74 5.8319 7.5285 5.5565
234 8.3936 5.5222 7.8664 6.0125
235 7.3053 11.046 7.1414 6.5857
236 9.0796 7.7928 7.9633 6.7483
237 8.6508 6.0077 8.7896 6.5557
238 7.4758 8.2428 5.716 6.5027
239 9.5672 10.122 5.8936 5.4339
240 9.7964 9.9937 5.7512 5.5763
241 6.3765 5.5162 6.4234 6.7115
242 10.119 7.1215 7.0332 5.9033
243 10.383 6.3489 7.5385 5.7697
244 8.1928 9.5678 10.6 6.3982
245 11.812 5.0513 9.3243 5.8915
246 5.3246 6.4648 7.7366 7.0693
247 10.371 7.9775 7.3294 5.9384
248 6.7728 8.8748 6.0661 6.3547
249 7.8379 6.4784 8.6295 5.9957
250 11.117 7.9964 8.8842 5.5857
251 11.657 9.8619 7.2652 5.4519
252 11.849 8.4098 7.4996 5.4218
253 11.718 8.6998 7.7501 6.0971
254 6.837 9.4977 6.6171 7.2543
255 8.3398 6.1209 11.561 6.9281
256 8.4085 7.7427 6.0887 5.3022
257 6.6272 7.6739 5.8932 6.8266
258 9.714 6.2009 7.8887 6.1462
259 6.071 5.9746 8.5532 6.2641
260 8.1152 5.5723 9.5968 6.2649
261 9.6011 10.073 5.756 5.8509
262 6.2527 9.9029 5.4922 6.5181
263 11.516 7.1783 6.6871 5.3695
264 8.9129 7.7203 7.9936 6.1768
265 5.6543 5.9832 7.0593 6.6015
266 11.191 7.1717 6.1821 5.8658
267 6.0817 9.6934 6.9302 6.73
268 8.1362 6.4148 10.67 6.2724
269 9.6443 8.7989 8.1052 6.458
270 7.8467 10.086 7.1967 6.1804
271 6.0435 11.998 8.89 6.6794
272 8.9648 7.5552 8.4707 5.5506
273 7.4244 6.1905 10.225 6.352
274 6.1815 7.8256 6.024 6.3718
275 5.4578 8.1535 7.0271 6.4209
276 8.2776 6.0004 8.254 6.3978
277 5.6241 8.5352 7.311 6.3012
278 7.716 7.8726 6.1341 5.5441
279 7.836 8.4197 8.3072 6.1092
280 8.7869 5.8875 7.7505 6.0239
281 11.791 10.312 7.6902 5.2553
282 6.7375 9.7039 7.8391 5.7434
283 5.5334 5.9689 8.0731 7.5444
284 10.636 11.992 5.941 5.9801
285 10.217 8.0931 6.2868 5.7949
286 7.3556 8.8015 7.6638 5.7496
287 11.307 8.6189 7.202 5.144
288 9.6358 7.1208 6.1796 6.113
289 7.9748 8.9118 6.2377 6.177
290 11.19 7.7633 5.4925 5.5834
291 6.5259 8.7359 8.9094 7.5294
292 6.6049 10.974 5.0156 5.668
293 11.232 6.7147 9.0086 6.6081
294 9.719 11.155 5.8486 5.9649
295 7.1926 5.893 8.6916 6.6487
296 8.9456 7.5848 8.2931 5.9669
297 7.6024 8.0611 7.1838 6.8054
298 9.0539 9.3359 5.0728 6.5556
299 10.895 9.078 7.1279 6.172
300 9.8799 6.5394 7.4581 5.9153
301 8.2416 10.231 5.8195 5.3802
302 6.8966 8.1934 8.0491 6.4243
303 9.6339 7.6696 6.2291 5.1417
304 7.8971 7.0184 6.8117 5.9658
305 9.4717 10.557 5.7141 5.1727
306 7.2044 5.8585 7.522 6.6345
307 8.3862 6.5828 9.0284 6.6068
308 8.7556 10.713 7.4372 5.5898
309 10.76 6.1253 8.7232 6.0157
310 5.9179 8.0733 9.1682 7.0011
311 7.1418 10.455 5.2457 6.5911
312 7.1144 8.325 8.002 6.7084
313 9.8616 5.8079 6.0832 5.9613
314 9.2388 5.1928 9.7244 6.33
315 11.298 6.4118 8.1042 5.7337
316 7.6822 7.5966 8.0085 6.6478
317 5.3005 6.4492 7.6251 6.8067
318 11.752 7.2612 6.903 5.5181
319 9.9164 8.6534 9.8841 6.1386
320 7.2287 9.3197 5.9321 5.6519
321 9.0796 7.3954 7.3248 6.1716
322 9.0582 8.7373 5.0558 5.7419
323 9.2088 7.4481 5.935 6.0726
324 11.953 6.3071 7.524 6.0071
325 6.3993 7.6067 8.832 6.574
326 6.8823 6.5156 5.9414 6.4752
327 7.0939 8.3379 6.9555 5.6592
328 7.3963 9.9113 7.142 5.8794
329 8.2145 6.3387 5.2988 5.8245
330 6.3519 8.8508 6.606 6.525
331 6.9477 10.274 5.159 5.9391
332 5.937 7.0185 8.9319 6.5454
333 9.4984 8.4701 7.9895 5.8045
334 8.5699 9.7931 5.026 5.6242
335 6.5622 9.7109 6.3593 5.7923
336 7.4507 5.5034 6.914 6.5045
337 10.812 7.169 9.3737 6.9566
338 8.9146 11.043 7.8958 5.8964
339 10.636 10.951 5.5544 5.4145
340 5.7412 5.6059 9.7714 6.1513
341 7.063 5.463 9.5025 6.4972
342 6.9962 8.1183 5.3395 5.6395
343 11.372 7.8571 5.1654 5.2093
344 5.2777 10.955 7.3808 6.9635
345 8.3731 10.676 8.2927 5.6803
346 5.551 7.9952 7.337 6.6398
347 10.036 7.8129 6.8384 5.7682
348 5.3908 11.044 6.2693 6.075
349 11.409 7.6323 7.1047 6.1078
350 6.9312 7.8363 7.7009 6.83
351 9.4434 5.3949 7.2193 6.0683
352 10.067 7.338 5.7643 5.0813
353 10.257 7.3561 6.5531 6.7643
354 6.6053 9.6212 7.392 5.48
355 9.669 6.9923 8.1484 7.25
356 7.5644 10.679 7.0412 5.7989
357 7.8698 6.6148 8.5144 6.7686
358 5.9083 7.2481 6.8227 6.2892
359 7.3978 8.3163 8.4252 6.8763
360 11.198 5.6745 8.4152 5.8779
361 8.4121 7.6465 8.249 7.3244
362 11.596 8.4463 5.8648 5.5354
363 5.9701 11.052 5.5866 6.7402
364 5.2575 6.4002 7.2219 7.0366
365 10.441 6.3749 7.5906 5.7624
366 7.632 9.1543 7.5434 6.3999
367 9.7647 9.272 7.7022 6.1132
368 11.919 8.2916 5.1838 5.2501
369 9.0363 5.6312 7.8527 6.621
370 8.222 6.3078 9.6814 8.0846
371 7.8128 6.7074 6.6546 6.1228
372 5.9766 11.366 7.3085 6.1388
373 11.838 6.9135 5.9123 5.3508
374 6.0214 6.8456 6.7085 7.0062
375 8.4559 8.259 8.2806 5.8002
376 6.8372 9.4647 6.6493 6.4394
377 7.539 6.903 6.1652 6.8475
378 8.9343 5.2153 7.4244 6.9082
379 6.0798 5.6792 9.0393 6.6671
380 5.9479 5.2671 8.5274 7.2513
381 9.6999 5.7348 7.9687 5.9121
382 7.0444 9.9682 8.4494 6.2988
383 8.3852 5.9356 7.121 6.1684
384 9.7882 6.7512 7.4534 5.9452
385 6.8379 7.06 8.9104 7.0399
386 8.4875 7.768 8.0703 6.8496
387 11.185 6.9283 6.8231 5.3692
388 9.05 7.4358 7.8735 6.0844
389 9.0646 9.4965 6.2462 5.2827
390 10.1 8.7342 6.9139 5.3758
391 9.9077 5.6476 9.1158 6.7439
392 6.3503 8.9615 6.4165 6.7828
393 10.831 6.06 11.264 6.1845
394 9.3053 11.063 5.1564 5.7963
395 11.607 5.1247 6.9371 5.229
396 8.1705 5.5706 8.6375 6.2545
397 8.7149 8.6097 8.5684 6.5312
398 10.856 6.2333 6.8104 5.2897
399 6.7942 8.5298 7.8355 6.2294
400 9.7804 8.7322 5.2096 6.2471
401 5.8181 8.1548 10.486 6.6297
402 6.0673 6.1858 10.842 7.5566
403 7.8992 5.6731 6.9045 5.3144
404 7.8983 8.0808 6.3533 6.177
405 6.248 6.0824 5.589 7.2964
406 7.013 7.3642 8.2446 5.9067
407 8.7745 6.6717 8.3742 6.6849
408 7.3452 10.164 8.7764 6.3032
409 11.615 9.3795 7.0076 5.5786
410 5.9742 11.693 6.3482 5.2946
411 7.6975 6.8678 8.41 7.144
412 5.6227 8.3698 6.6816 6.084
413 7.6967 8.5277 6.9843 6.9202
414 5.0104 8.0456 8.1958 7.5091
415 8.6406 9.3788 8.222 7.2105
416 9.7868 8.236 6.438 5.6379
417 6.0662 7.2715 5.5545 6.0953
418 8.5876 8.292 6.4474 6.2468
419 9.8343 9.5342 6.2634 6.1977
420 6.1771 7.248 8.4709 5.9834
421 7.5259 6.7731 6.5432 5.9598
422 8.154 7.8198 10.217 6.0001
423 10.183 8.4026 6.0092 5.6817
424 7.3656 8.8419 7.7576 5.844
425 9.596 10.181 5.0562 5.452
426 7.131 6.8071 7.8292 6.8814
427 8.9583 6.2238 9.0525 6.0911
428 5.3098 9.1236 7.1356 5.6015
429 9.2031 11.841 5.293 6.3862
430 6.8676 10.871 6.9599 6.6443
431 6.5795 7.511 7.3369 5.7934
432 11.778 6.5755 7.3769 6.5188
433 7.576 7.7954 7.4734 6.1813
434 8.0232 8.7505 8.2335 6.5612
435 6.1953 8.6607 7.2605 6.4804
436 10.449 7.3785 8.2995 5.8793
437 9.9616 6.8331 9.4098 5.7022
438 11.146 10.913 5.394 5.3844
439 7.5162 7.9861 5.3913 7.0703
440 5.2075 7.3411 7.8229 6.7053
441 9.8273 7.5464 5.6586 5.3972
442 9.4233 5.5876 9.2559 6.3869
443 6.7173 9.1156 8.1173 6.109
444 7.4093 11.705 8.0994 6.1905
445 7.2982 11.538 7.1051 5.9349
446 10.034 5.7995 8.4645 5.88
447 9.7704 11.09 5.4147 5.1529
448 9.148 9.7977 7.6704 5.8126
449 5.7598 6.527 10.17 6.9531
450 8.1122 8.3194 6.1178 6.3443
451 10.288 8.3905 7.8822 5.4766
452 11.151 9.1035 7.7232 6.1822
453 8.8619 8.0848 8.5736 5.2026
454 11.959 8.482 8.0191 5.7009
455 11.155 8.2891 5.0053 5.1025
456 11.223 7.0838 7.0108 5.8411
457 8.8574 5.9473 7.8343 6.6914
458 11.836 6.3219 6.8887 5.9003
459 8.6944 6.0284 9.5064 6.6284
460 8.3684 11.428 8.3899 6.4819
461 6.012 11.98 5.0357 6.2724
462 6.0565 7.4986 8.0786 7.0411
463 10.892 6.3485 10.491 6.7503
464 11.403 7.3267 6.6114 5.5453
465 10.11 5.5959 10.094 6.2108
466 6.3357 9.3439 5.6629 6.2006
467 11.424 10.339 6.8547 5.9572
468 8.0722 5.4208 7.2542 6.9451
469 9.5009 11.668 5.5335 5.6338
470 7.4123 5.0633 8.1783 6.025
471 8.9662 6.9356 5.2993 6.0655
472 5.5165 7.9563 5.602 6.3522
473 7.2487 7.0592 7.7545 6.487
474 9.8796 8.44 7.3962 5.2101
475 9.0286 6.1322 10.62 6.4541
476 9.0116 7.7021 7.6484 5.3572
477 9.3957 11.038 6.4147 5.944
478 7.7941 9.6658 6.0212 5.5467
479 11.341 8.8646 7.9118 5.2208
480 11.685 5.1064 8.7912 6.3334
481 7.0995 6.3476 9.7819 7.3476
482 9.9333 6.7561 9.8128 6.1213
483 6.6476 8.9892 8.2061 5.9912
484 8.1917 9.7919 6.1978 6.1847
485 11.517 5.3227 7.0547 5.76
486 5.7616 10.006 5.9076 6.398
487 7.2539 10.571 7.22 5.7364
488 9.1872 7.598 7.7754 6.3398
489 10.395 7.8213 6.4116 5.5935
490 9.2546 7.8745 5.8974 5.6565
491 6.9451 9.0263 6.3024 6.4647
492 7.3789 9.6658 6.5984 6.0006
493 6.8835 9.9089 5.6066 6.1182
494 7.1783 7.4096 8.3169 6.6253
495 6.0674 8.4231 5.0771 6.1814
496 5.0138 8.5448 7.9421 6.3897
497 5.8834 7.5313 8.3006 6.9042
498 10.282 7.1965 7.4616 6.3409
499 8.3319 5.1712 6.8824 7.1118
500 7.5648 5.6591 10.46 6.9056
501 11.157 7.8389 7.0827 5.5829
502 8.0052 11.606 5.1055 5.5867
503 10.576 8.459 6.7861 5.503
504 10.775 5.4166 5.6334 6.7254
505 10.898 10.453 7.3515 5.3711
506 10.118 6.8199 9.9084 6.9424
507 8.6359 7.1442 6.1551 6.5237
508 8.5254 6.2427 8.0895 5.8377
509 8.475 7.6922 5.8045 5.5085
510 7.5707 6.6764 6.4076 6.3441
511 6.1271 9.0549 7.329 6.6302
512 10.526 6.8156 6.9232 6.1926
513 7.913 10.207 9.7447 5.8944
514 8.4114 9.4363 7.2228 5.419
515 8.0766 5.2807 9.7753 6.2305
516 7.7497 7.0225 7.972 6.507
517 5.3742 8.1686 6.6823 6.3874
518 10.054 6.8315 9.1605 5.3429
519 8.9621 5.3131 9.9119 5.539
520 8.0012 5.5658 6.0377 6.5966
521 5.182 9.1801 5.8908 6.8098
522 8.7808 11.024 5.0529 5.8179
523 7.6359 10.906 8.2251 6.004
524 7.1424 8.2562 8.0427 5.9695
525 11.562 8.4676 5.1496 5.1116
526 10.068 5.3598 5.9868 7.2231
527 7.8404 9.856 6.3103 5.748
528 7.3937 11.035 8.0061 6.2338
529 8.6057 7.6691 7.7948 6.3217
530 8.0175 5.5676 6.6861 6.8058
531 9.2456 9.1233 6.5305 5.7499
532 7.766 7.0915 6.9972 6.2386
533 9.3798 7.6103 8.3478 5.5962
534 9.9358 9.3637 6.8498 6.2449
535 8.3932 8.5126 6.0758 5.8855
536 10.47 5.6906 5.3667 5.7574
537 10.056 11.879 5.3338 5.6208
538 9.4665 6.3201 8.3269 5.1652
539 8.4561 9.5803 5.2335 6.5346
540 9.2081 10.225 5.3587 5.2714
541 7.6271 9.5383 5.9343 5.9674
542 7.9696 8.8742 5.7733 5.359
543 7.8934 6.6667 8.1233 6.2101
544 10.134 8.2442 5.9117 5.4331
545 6.8503 7.2089 7.3146 6.3153
546 6.0571 8.5929 5.7801 5.3585
547 7.4471 5.6693 7.7547 7.3058
548 7.4206 5.3564 6.6008 5.9574
549 7.4094 8.4758 5.5792 6.8936
550 9.2734 5.4372 8.4633 7.5433
551 7.014 11.296 9.2843 6.2247
552 6.3788 6.6375 8.9947 6.8038
553 11.283 5.8505 6.5085 5.9387
554 8.0967 9.642 5.4636 5.5789
555 5.9801 10.109 9.0187 7.4547
556 6.7616 10.249 6.7978 5.4176
557 10.977 8.543 6.1049 5.3529
558 11.833 9.3638 7.0536 5.4177
559 8.9494 11.605 6.2621 5.2793
560 5.5407 8.2657 7.1872 6.4405
561 7.1553 7.2739 8.8705 6.5969
562 11.002 7.1092 5.4363 6.7277
563 11.46 5.4926 8.569 5.308
564 11.772 7.0802 7.9667 5.5656
565 9.2503 8.7198 5.3868 5.9537
566 6.3337 9.3763 5.9929 6.3367
567 8.1868 9.8242 5.6104 6.3706
568 7.9103 8.2339 6.0241 6.6496
569 10.013 10.896 6.8701 5.8405
570 11.043 5.8399 8.6083 6.2825
571 9.7736 7.6394 9.1203 6.0981
572 5.6818 9.8187 5.882 5.5771
573 8.3908 6.3401 9.6539 6.9654
574 8.5841 9.9226 6.2316 5.6844
575 5.2313 9.7035 5.1047 6.1094
576 7.3733 5.0639 7.5417 7.0747
577 8.1894 9.0997 6.9689 6.2367
578 11.04 6.7906 6.3692 5.3832
579 7.6365 8.9327 8.4661 6.0199
580 10.049 8.7884 7.5732 5.3935
581 6.0173 8.4539 5.0857 7.1255
582 10.334 7.6454 7.0477 6.1788
583 9.5935 9.5823 5.6222 5.7251
584 8.6964 5.6241 8.0925 6.0384
585 6.9096 8.7842 5.5504 6.1791
586 11.141 6.129 7.3449 6.0123
587 11.577 8.1417 7.5667 5.9884
588 6.74 8.1326 7.9149 6.3465
589 5.6586 5.206 9.9304 7.8062
590 11.472 6.0638 6.1854 5.2531
591 5.2443 9.4715 10.704 7.0353
592 5.5468 9.2978 5.4654 6.4595
593 8.6339 5.6098 6.6186 5.8456
594 7.3522 6.6866 8.1479 6.4317
595 6.1699 10.122 6.374 6.1723
596 5.3279 8.9419 5.4675 5.8645
597 6.5979 7.6552 7.6022 6.5427
598 5.9737 8.2016 6.9754 6.5205
599 6.9483 9.1676 7.8957 5.8387
600 11.85 5.3929 8.7144 5.8248
601 6.5245 6.3715 7.9487 6.5814
602 7.2866 8.5946 8.1212 6.9599
603 8.2032 6.8996 7.3496 6.1629
604 9.243 7.107 7.8701 6.3438
605 9.1339 9.1297 8.2112 5.6668
606 6.4018 6.7992 8.8016 7.1599
607 6.9459 9.0744 8.9838 6.651
608 5.5144 6.3396 9.7372 7.039
609 10.492 6.598 6.5478 5.6743
610 10.855 6.9628 8.4047 6.6628
611 11.788 5.2776 9.927 5.3485
612 5.4348 6.6004 9.2956 7.0276
613 11.839 8.1773 6.5364 5.9569
614 9.9463 5.6975 9.3701 7.335
615 5.5187 7.2985 7.6999 6.1858
616 5.8827 6.8534 6.3629 6.7997
617 9.4462 6.1614 8.5326 5.5922
618 8.6879 7.0516 6.824 6.4285
619 10.279 7.1582 7.0821 5.7043
620 7.1853 6.9016 7.3037 6.9612
621 9.8362 7.0428 8.1826 6.8955
622 10.174 7.6052 8.4678 5.7296
623 10.934 8.3984 5.3266 5.3754
624 6.1446 6.5167 6.7014 6.9209
625 9.2483 7.4464 10.857 6.926
626 10.522 7.727 6.2713 5.0393
627 8.7144 8.7374 6.2676 5.964
628 7.1825 6.7781 6.8796 7.4203
629 6.5357 6.1901 6.7587 5.7976
630 6.3754 8.5634 7.5261 6.6094
631 8.5479 8.8737 7.2921 6.3104
632 9.263 8.8522 7.021 5.2302
633 8.8108 11.118 5.1313 5.3969
634 9.0884 6.4212 7.2609 5.6954
635 7.3475 6.3719 7.1203 6.0809
636 6.084 8.6856 8.2628 6.3382
637 7.6099 10.411 7.3311 6.342
638 11.756 6.9025 8.9681 6.175
639 6.9462 7.5116 6.7021 6.6839
640 9.2499 8.0526 6.7466 5.8081
641 9.3308 7.8842 5.5807 5.8326
642 7.7551 11.816 6.9341 5.9847
643 10.424 7.2177 7.4742 5.5547
644 8.9125 10.466 5.4983 5.7988
645 7.3361 8.2606 5.9622 6.0899
646 6.2643 5.9377 8.2332 7.1586
647 5.7206 11.163 5.3822 5.4081
648 7.0309 9.3898 6.1356 5.9627
649 7.0913 9.7612 6.8588 6.2892
650 11.211 7.8999 7.5596 6.0275
651 9.1356 7.903 9.7817 6.6651
652 7.6731 7.2104 8.4021 6.4603
653 10.637 9.2733 5.0552 5.2128
654 6.9363 7.4069 7.2045 6.6192
655 10.893 6.8486 7.9553 5.7797
656 7.3794 5.1081 10.808 6.6627
657 7.3933 9.4549 5.8834 5.816
658 10.167 10.578 7.3285 5.0062
